Wavelength	Transit Depth
(meters)	(percent)
6.046406e-07	1.437051e+00
6.052444e-07	1.436082e+00
6.058487e-07	1.435557e+00
6.064537e-07	1.434765e+00
6.070592e-07	1.434118e+00
6.076654e-07	1.433469e+00
6.082722e-07	1.432906e+00
6.088796e-07	1.455938e+00
6.094876e-07	1.431622e+00
6.100962e-07	1.431062e+00
6.107054e-07	1.430469e+00
6.113152e-07	1.455934e+00
6.119256e-07	1.429323e+00
6.125366e-07	1.428845e+00
6.131483e-07	1.428237e+00
6.137605e-07	1.427743e+00
6.143734e-07	1.427414e+00
6.149869e-07	1.426699e+00
6.156009e-07	1.426198e+00
6.162156e-07	1.425724e+00
6.168310e-07	1.425286e+00
6.174469e-07	1.424784e+00
6.180634e-07	1.424356e+00
6.186806e-07	1.423916e+00
6.192984e-07	1.423750e+00
